Action Stock Horse Foal,Model Number,Name,Color,Release Dates,Released Through/Notes
Proud Arabian Stallion,972,"Freedom, the Legend of the Bloody Shoulder
      Arabian","red flea-bit, four color eyes, grey-shaded 
	muzzle and sides of face, red chestnut ""bloody shoulder"" markings, painted 
	white mane/tail",1997,"Commemorative 
	Edition(10,000 made)With hang tag. Numbered by hand on belly."
Proud Arabian Stallion,972,"Freedom, the Legend of the Bloody Shoulder
      Arabian","red flea-bit, four color eyes, grey-shaded 
	muzzle and sides of face, painted 
	white mane/tail",1997,"Variation without bloody 
	shoulder. A small number known."
Proud Arabian Stallion,1104,Dune,"glossy honey bay, shaded muzzle, black mane/tail, 
	four socks",Jul to Dec 2000,Collectors' EditionWith hang tag
Proud Arabian Stallion,1341,Thee DesperadoEgyptian Arabian Stallion,"bay, black points, off side socks",2008-2009,
Proud Arabian Stallion,1341,"Signed Thee Desperado &Rhapsody in Blackmodels and 
	portrait of Rhapsody in Black","bay, black points, off side socks",2016,BreyerFestSilent Auction(1 made)
Proud Arabian Stallion,1341G,Thee DesperadoEgyptian Arabian Stallion,"glossy bay, black points, off side socks",2008,BreyerFestLive Show Prize(30 made)With Certificate of Authenticity
Proud Arabian Stallion,1399,"Arabian Horse & RiderWith rider, Arabian costume","chestnut, blaze, snip, chestnut mane/tail, 
	light fades lighter toward tip, shaded knees, four socks",2010,"Limited Edition(1,500 made)With Certificate of 
	Authenticity"
Proud Arabian Stallion,2110,Proud Arabian Stallion,"alabaster, grey-striped mane/tail",1971-1972,"Showcase CollectionSame 
	as #211."
Proud Arabian Stallion,5212,Witez II,"mahogany bay, blaze, black points, four 
	stockings or two hind socks, matte or semi gloss",1971-1973,"Presentation Collection.Also released under #212.Same color as #212above, but mounted on American 
	walnut wood base with brass ""Witez"" nameplate."
Proud Arabian Stallion,19841,"Open Top BuggyWith cart, black leather harness, Brenda doll, in clear display case.","flocked chestnut, blaze, painted black eyes, 
	chestnut synthetic hair mane/tail, off hind and fore stockings",1984,Signed and numbered on underside of buggy.(<30 made)
Proud Arabian Stallion,19841,"Open Top BuggyWith cart, black leather harness, in clear display case.","flocked chestnut, blaze, painted black eyes, 
	chestnut synthetic hair mane/tail, off hind and fore stockings",1984,Montgomery WardHoliday Catalog(~350 made)Signed and numbered on underside of buggy.
Proud Arabian Stallion,300303,Buffalo Bill's Isham,"grey, shaded muzzle, streaked light grey 
	mane/tail, shaded knees and hocks",2003,"Tractor Supply Company(3,500 made)"
Proud Arabian Stallion,411213,ProudArabian Stallion,"red bay, solid face, black points",1987,"Black Horse Ranch(500 made)Solid individually or in set with other two 
	BHR models."
Proud Arabian Stallion,412213,ProudArabian Stallion,"black, solid face, black mane/tail, four 
	stockings",1987,"Black Horse Ranch(500 made)Solid individually or in set with other two 
	BHR models."
Proud Arabian Stallion,413213,Proud Arabian Stallion,"light red chestnut, solid face, flaxen with 
	red chestnut overspray mane/tail",1987,"Black Horse Ranch(500 made)Solid individually or in set with other two 
	BHR models. Bright orangey shade shown."
Proud Arabian Stallion,492091,"Arabian Horses of the World SetWithFamily Arabian Stallion,Proud Arabian Mare","semigloss red bay, blaze, pink nose, black 
	points, near fore and hind stockings",1991-1992,"SearsHoliday Catalog(4,350 made)"
Proud Arabian Stallion,700199,Kalico,"bay tobiano, shaded muzzle, black points, 
	four stockings",1999,Spring Show SpecialWith Certificate of Authenticity
Proud Arabian Stallion,703202,"Batal(Hero) and Amira 
	(Princess)WithProud Arabian Foal","shaded rose grey, blaze, snip, four socks",2002,"Breyer Tour 
	Raffle Model(25 made)BreyerFestLive Auction(1 made)"
Proud Arabian Stallion,708195,Sundown Proud Arabian Stallion,"light reddish chestnut, snip, flaxen 
	mane/tail, four stockings",1995,Q2 Home Shopping Network(96 made)Same as #933
Proud Arabian Stallion,710703,SaturdayNight Fever,"glossy silver filigree, pink muzzle, white 
	points",2003,"BreyerFestRaffle, Live Auction(26 made)"
Proud Arabian Stallion,711415,"Que Sera Sera(Live Auction ""Mold No. 211 Proud Arabian Stallion Dark Blood Bay Pinto"")","base coat chalky dark bay tobiano with mapping, snip, black and white mane, 
	white tail, four high stockings",2015,"BreyerFestSaturday Raffle, Live Auction(26 made)"
Proud Arabian Stallion,711429,After Party,"semigloss metallic chestnut tobiano, white 
	mane, white and chestnut streaked tail, four stockings",2009,"BreyerFestLive Auction, Volunteer Model(100 made)With Certificate of 
	Authenticity."
Proud Arabian Stallion,712061,Harlequin,"glossy grey blanket, bald face, pink nose,  
	black points, with blue ribbon sticker",2012,"Vintage Collector 
	Club(500 made)With numbered Certificate of 
	Authenticity booklet. ""Vintage Collectors Club"" stamped on belly."
Proud Arabian Stallion,712061,Harlequin,"glossy grey blanket, bald face, pink nose,  
	black points, with blue ribbon sticker",2012,"No blue ribbon sticker, VIN number, or belly 
	stamp. Probably a test or sample."
Proud Arabian Stallion,712129,Beignet,"glossy dappled chestnut, shaded muzzle, dark 
	flaxen mane/tail",2014,"Big Easy BashSpecial Run(8 made)Stamped ""Limited Edition 2014"" 
	on belly."
Proud Arabian Stallion,720298,Cappuccino,"liver chestnut, stripe, snip, darker head, 
	flaxen mane/tail, hind socks",1998,"Toys 'R' UsMedallion 
	Series"
Proud Arabian Stallion,,Arabian Stallion and Tack SetWith English tack,"matte and semigloss dapple grey, bald or 
	light grey face, most with grey mane/tail and four stockings",1977,JCPenneyHoliday CatalogSame as #213
Proud Arabian Stallion,,Proud Arabian Stallion,"chestnut, flaxen mane/tail, low hind 
	stockings",~1978-1979,Test Model(1 made)
Proud Arabian Stallion,,Proud Arabian Stallion,unpainted,1980,"Just About Horses, 
	Vol VII #3"
Proud Arabian Stallion,,Proud Arabian Stallion,"flocked chestnut, blaze, painted black eyes, 
	chestnut synthetic hair mane/tail, off hind and fore stockings",1983,"Montgomery WardHoliday CatalogSame as #19841, sold 
	separately from set."
Proud Arabian Stallion,,Arabian Stallion with English Tack SetWith leather saddle and bridle.,"bay, low blaze, solid face, star, or stripe, four or various stockings",1983-1984,"JCPenneyHoliday CatalogHighly variable body color and 
	points/socks/stockings. Somewhat lighter and redder than #212,"
Proud Arabian Stallion,,ProudArabian Stallion,"cinnamon chestnut, four stockings, grey 
	hooves",1984,"Mississippi Valley Live Show in Barrington, 
	IL(~12 made)"
Proud Arabian Stallion,,ProudArabian StallionWith white halter and lead,"flocked bay, blaze, brown glass eyes, black 
	synthetic hair mane/tail, off hind and fore stockings",1984,Montgomery WardHoliday Catalog
Proud Arabian Stallion,,Brindle Bay,"bridle bay, black points",1994,BreyerFestLive Auction(1 made)
Proud Arabian Stallion,,Proud Arabian Stallion,"dappled palomino, flaxen mane/tail",1990s (?),Test Model
Proud Arabian Stallion,,"""Steel Dust"" Grey Shaded Proud Arabian 
	Stallion","shaded grey, dark grey points",1995,BreyerFestLive Auction(1 made)
Proud Arabian Stallion,,Black Pinto Overo Proud Arabian Stallion #213,"black overo, white lower face, pink muzzle, 
	streaked black mane, black tail, four socks",1996,BreyerFestLive Auction(1 made)
Proud Arabian Stallion,,Solid bay with snip,"bay, snip",1996,BreyerFestLive Auction(1 made)
Proud Arabian Stallion,,Buckskin,"buckskin, darker mane/tail",1997,"BreyerFestLive Auction(1 made)With Certificate of 
	Authenticity"
Proud Arabian Stallion,,Buckskin Pinto,"buckskin tobiano, shaded muzzle, black 
	mane/tail, black on upper legs",1999,BreyerFestLive Auction(1 made)
Proud Arabian Stallion,,Golden Metallic Bay Proud Arabian Stallion,"metallic bay, incomplete stripe, white 
	muzzle, darker shading on lower face, black points, foreleg stockings",2000,BreyerFestLive Auction(1 made)
Proud Arabian Stallion,,Glossy Smoky Pearl Grey,"glossy pearl grey, darker face, light 
	dappling, dark and light grey mane/tail, darker shading on knees",2002,BreyerFestLive Auction(1 made)
Proud Arabian Stallion,,Bay Rabicano SetWithProud Arabian Foal,bay rabicano(MatchesShalimar),2004,"BreyerFestLive Auction(1 made)With Certificate of 
	Authenticity"
Proud Arabian Stallion,,Dapple black,"dappled black, bald face, fore stockings",2006,BreyerFestLive Auction(1 made)
Proud Arabian Stallion,,ProudArabian Stallion,"chestnut tobiano, flaxen mane, tail flaxen to 
	black, off fore and hind stockings",2008,BreyerFestLive Auction(1 made)
Proud Arabian Stallion,,"DenimProud Arabian 
	Stallion",solid denim blue,2009,"Lone 
	Star Experience(1 made)With red kerchief"
Proud Arabian Stallion,,"Glossy Black Blanket Appaloosa on the 
	Proud Arabian Stallion Mold (#211)","glossy black blanket, solid face, black mane, 
	black to white tail, four stockings",2014,BreyerFestLive Auction(1 made)
Proud Arabian Stallion,,"Mold 211, Glossy Dapple Liver Chestnut",glossy dappled liver chestnut,2020,BreyerFestLive Auction(1 made)
Proud Arabian Stallion,,Proud Arabian Stallion,"black tobiano, four stockings, black mane/tail",?,Believed to be a Marney Walerius test model
Proud Arabian Stallion,,Proud Arabian Stallion,"chestnut, mane/tail same shade, four 
	stockings",?,"Possible test model or from the 
	1984Mississippi Valley Liveshow (see above)"
Bristol,1773,Voyeur,"bay, black points",2019-2021,
Bristol,1862,Get Rowdy,dappled grey,2022-present,
Bristol,10040,Clooney 51,fleabitten grey,2023,
Bristol,90188,Bristol,buckskin tobiano,2018,Premier Collection
Bristol,90188G,Bristol,glossy buckskin tobiano,2018,Given to Morgen Kilbourn (1 made)
Bristol,711297,Jackpot,chestnut leopard,2018,BreyerFestSunday Raffle/Live Auction(26 made)With Certificate of Authenticity-auction
Bristol,711364,Leap of Faith,black pinto,2019,"BreyerFestBest Custom Contest, Silent Auction(6 made)With Certificate of Authenticity, stamped ""BreyerFest 2019 30th Anniversary"" on belly"
Bristol,711479,"Queen of Hearts, ""Josie""","bay brindle, black points, hind socks",2021,"BreyerFestLimited Edition(3,500 made)"
Bristol,711479G,"Queen of Hearts, ""Josie""","glossy bay brindle, black points, hind socks",2021,"BreyerFestLimited Edition(1,840 made)"
Bristol,711618,Jump and Drive,"glossy sooty buckskin splash, loose mane and tail",2023,"BreyerFestSpecial Run(1,150 made)Stamped ""BreyerFest 2023''"
Bristol,711618,Jump and Drive,"glossy sooty buckskin splash, braided mane and tail",2023,"BreyerFestSpecial Run(1,150 made)Stamped ""BreyerFest 2023''"
Bristol,712328,Barrington,"deep chestnut, bald face, four stockings, red ribbons",2020,Vintage Collectors ClubWith hang tag.
Bristol,712357,Redmond,"glossy chestnut with chrome, four stockings",2020,Seattle SoireeEvent Model(200 made)
Bristol,712443,Peregrine,"bay dun blanket appaloosa, star, sock",2022,"Birds of a Feather(500 made)""Peregrine 2022"" stamped on belly."
Bristol,,Loose Mane Voyeur,"bay, black points",2018,Test Model(1 made - Shown onGoldieblox)
Bristol,,Mold No. 747Bristol - JumperShaded Chalky Star Dapple Rose Grey,dapple rose grey,2019,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Bristol,,Bundesflagge,"glossy pearly black, red and gold leopard appaloosa",2022,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Quarter Horse Gelding,97,Appaloosa Gelding,"sorrel blanket, most with broken blaze, darker greyed-sorrel mane/tail, most with foreleg stockings, sorrel spots, black or dark brown halter",1971-1980,"Variations known with stenciled bald face, no stockings, four stockings, or black spots. Model shown has a brown and black halter."
Quarter Horse Gelding,97,Appaloosa Gelding,"sorrel blanket, most with broken blaze, darker greyed-sorrel mane/tail,  sorrel spots, black or dark brown halter",1971-1980,Chalkyvariation without fore stockings
Quarter Horse Gelding,98,Two Bits,"buckskin, bald face, some with dorsal stripe, some with eye whites, black mane/tail, most with black shaded lower legs, most with black or dark brown halter",1961/63-1980,"Buckskin color ranges from pale to dark. Variations known with dark body and brown legs, broken blaze, or red halter."
Quarter Horse Gelding,98,Two Bits,"semi-glossy buckskin, bald face, some with dorsal stripe, some with eye whites, black mane/tail, most with black shaded lower legs, most with black or dark brown halter",1961/63-1980,Apparent variation.
Quarter Horse Gelding,98CH,Quarter Horse Gelding,"red chestnut, long star, slightly darker red chestnut mane/tail, four stockings, black halter",1986-1987,"Eighmey's Wagon Shop, mail order companies(1,400 made)Many flocked by Eighmey's, lowering actual models available"
Quarter Horse Gelding,99,Two Bits,"glossy medium reddish or caramel bay, broken blaze, some with eye whites, black mane/tail, four stockings, black halter",1960-1966,Color can vary to dark chocolate bay. Some possibly with hoof pads.
Quarter Horse Gelding,727,Splash,"grullo sabino, black mane/tail, three stockings, not off fore, black halter",1998-1999,Just About Horsessubscriber votewinner
Quarter Horse Gelding,924,"Majesty, Quarter Horse(1995)Majesty, America Quarter Horse(1996)","light dapple grey, head mostly white, white mane/tail touched with grey, four stockings, dark brown halter",1995-1996,Body color varies from soft medium grey to nearly white
Quarter Horse Gelding,970,Appaloosa Gelding,"sorrel blanket, most with broken blaze, darker greyed-sorrel mane/tail, most with fore stockings, black or dark brown halter",1971-1972,Showcase CollectionSame as #97
Quarter Horse Gelding,999,"Two Bits, Quarter Horse","woodgrain, painted-on broken blaze, four painted-on stockings, black halter",1960-1964,
Quarter Horse Gelding,1108,"Mario -  ""World's Best School Horse""","very light grey, darker grey muzzle, mane/tail and knees, black halter",2000,
Quarter Horse Gelding,1453,Chub - Hoss Cartwright's Horse,"bay, black points, three socks, not near fore, black halter",2011,Part of the BONANZA® (1959-1973) TV show series of models
Quarter Horse Gelding,1453G,Chub - Glossy,"glossy black points, three socks, not near fore, black halter",2011,BreyerFestChild/Youth Live Show Reserve Grand Champion Prize(4 made)With Certificate of Authenticity
Quarter Horse Gelding,410401,"Riding Academy SetWith doll, tack box, grooming accessories","bay, wide blaze, snip. black points, off hind sock, off fore coronet, black halter",2002,JCPenneyHoliday Catalog
Quarter Horse Gelding,430040,Vintage Red Roan Quarter Horse Gelding Test Piece,"red roan, black halter",2017,Test Piece Raffle(1 made)
Quarter Horse Gelding,430052,Quarter Horse,glossy palomino w/ black halter,2022,Breyer Breeds Collection
Quarter Horse Gelding,700097,"Silver, Quarter Horse","slate grey, solid face, tri-color eyes, pink in nostrils, black points, black halter",1989,"1stCommemorative Edition(5,000 made)Numbered by hand on belly. Some with opalescent sheen."
Quarter Horse Gelding,711059,AppaloosaSurprise,"bay blanket, black points, hind socks, green halter",2009,"BreyerFestSpecial Run(450 made)""BreyerFest 2009"" stamped on belly"
Quarter Horse Gelding,711059,PalominoSurprise,"dunalino, lighter mane, grey streaked tail, primitive leg barring, purple halter",2009,"BreyerFestSpecial Run(450 made)""BreyerFest 2009"" stamped on belly"
Quarter Horse Gelding,711059,PintoSurprise,"metallic chestnut tobiano, mane/tail same shade as body, mane with white, four stockings, blue halter",2009,"BreyerFestSpecial Run(450 made)""BreyerFest 2009"" stamped on belly"
